Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift,PLZ,Firmenort,Telefon,Website,Verfügbarkeit
Stadtwerke Langenfeld GmbH,,True,,,,,Langforter Str. 7,40764,Langenfeld,02173 979542,www.stw-langenfeld.de,
Stadtwerke Lengerich GmbH,,True,,,,,An der Mühlenbreede 4,49525,Lengerich,054 81 80 0540,www.stadtwerke-lengerich.de,
Stadtwerke Lippstadt,,True,,,,,Bunsenstr. 2,59557,Lippstadt,02941 282912,www.stadtwerke-lippstadt.de,
Stadtwerke Löffingen,True,,,,,,,,,07654 8020,www.stadtwerke-loeffingen.de,regional
Stadtwerke Lüdenscheid GmbH,,True,,,,,Lennestraße 2,58507,Lüdenscheid,0800 157 1000,www.swls.de,
Stadtwerke Ludwigsburg-Kornwestheim GmbH,,True,,,,,Gänsfußallee 23,71636,Ludwigsburg,07141 9102577,www.swlb.de,
Stadtwerke Menden GmbH,True,,,,,,,,,02373 169 2313,www.stadtwerke-menden.de,regional
Stadtwerke Müllheim Staufen GmbH,,True,True,True,,True,Am Schießrain 1a,79219,Staufen i.Br.,07631 936080,www.sw-muellheimstaufen.de,
Stadtwerke Münster GmbH,True,,True,True,,,,,,0251 6941212,www.stadtwerke-muenster.de,bundesweit
Stadtwerke Neustadt/Weinstraße GmbH,True,,,,,,,,,06321 402271,www.swneustadt.de,regional
Stadtwerke Pfullendorf GmbH,,True,,,,,Bahnhofstraße 6,88630,Pfullendorf,07552 251859,www.pfullendorf.de/stadtwerke,
Stadtwerke Pinneberg GmbH,True,,,,,,,,,04101 2030,www.stadtwerke-pinneberg.de,regional
Stadtwerke Pirmasens Versorgungs GmbH,True,,,,,,,,,06331 8760,www.stadtwerke-pirmasens.de,regional
Stadtwerke Plön Versorgungs GmbH,,True,,,,,Lübecker Straße 20,24306,Plön,04522 80 89 90,www.stadtwerke-ploen.de,
StadtWerke Rösrath - Energie GmbH,,True,,,,,Hauptstr. 142,51503,Rösrath,0241 1817520,www.stadtwerke-roesrath.de,
Stadtwerke Schramberg GmbH & Co. KG,True,,,,,,,,,07422 95340,www.stadtwerke-schramberg.de,regional
Stadtwerke Schwäbisch Gmünd GmbH,,True,,,,,Bürgerstraße 5,73525,Schwäbisch Gmünd,07171 603 8111,www.nichtwegzudenken.de,
Stadtwerke Springe GmbH,True,,,,,,,,,05041 640798,www.stadtwerke-springe.de,regional
Stadtwerke St. Ingbert GmbH,True,,,,,,,,,06894 95520,www.sw-igb.de,regional
Stadtwerke Waiblingen GmbH,,True,,,,,Schorndorfer Str. 67,71332,Waiblingen,07151 131184,https://stadtwerke-waiblingen.de/,
Stadtwerke Waldkirch GmbH,,True,,,,,Fabrikstraße 15,79183,Waldkirch,07681 47788999,www.stadtwerke-waldkirch.de,
Stadtwerke Weserbergland,True,,,,,,,,,05151 822870,www.stadtwerke-weserbergland.de,regional
Stadtwerke Willich GmbH,,True,,,,,Brauereistraße 7,47877,Willich,02154 4702280,www.stadtwerke-willich.de,
Stadtwerke Zweibrücken GmbH,True,,,,,,,,,06332 8740,www.stadtwerke-zw.de,regional
Stromio GmbH,,True,,,,,Girmes-Kreuz-Str. 55,41564,Kaarst,0800 58 58 224,www.gruenwelt.de/,
