,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
97,Stadtwerke Ettlingen GmbH,,True,,,,,Hertzstraße 33,76275,Ettlingen,07243 101619,www.sw-ettlingen.de,,Hertzstraße 33,76275,Ettlingen,True,True
98,Stadtwerke Eutin GmbH,,True,,,,,Holstenstr. 6,23701,Eutin,04521 705300,www.stadtwerke-eutin.de/,,Holstenstraße 6,23701,Eutin,True,True
99,Stadtwerke Flensburg GmbH,,True,True,True,,,Batteriestr. 48,24939,Flensburg,0461 487 44 55,www.stadtwerke-flensburg.de,,Batteriestr. 48,24939,Flensburg,True,True
100,Stadtwerke Frankenthal GmbH,,True,,,,,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.swift-energy.de,,Wormser Str. 111,67227,Frankenthal,True,True
101,Stadtwerke Geldern GmbH,,True,,,,,Markt 25,47608,Geldern,02831 933343,www.swgeldern.de,,Markt 25,47608,Geldern,True,True
102,Stadtwerke Heidelberg Energie GmbH,,True,,,,,Kurfürsten-Anlage 42-50,69115,Heidelberg,06221 5130,www.hvv-heidelberg.de,,Kurfürsten-Anlage 50,69115,Heidelberg,True,True
103,Stadtwerke Iserlohn GmbH,,True,,,,,Stefanstr. 4-8,58636,Iserlohn,0800 5892242,www.sauerlandstrom-natur.de,,Stefanstr. 4-8,58638,Iserlohn,True,True
104,Stadtwerke Karlsruhe GmbH,,True,,,,,Daxlander Str. 72,76185,Karlsruhe,0800 200 300 6,www.stadtwerke-karlsruhe.de,,Daxlander Straße 72,76185,Karlsruhe,True,True
105,Stadtwerke Lambrecht (Pfalz) GmbH,True,,,,,,,,,06325 1890,www.sw-lambrecht.de,regional,Hauptstrasse 14,67466,Lambrecht,True,True
106,Stadtwerke Langenfeld GmbH,,True,,,,,Langforter Str. 7,40764,Langenfeld,02173 979542,www.stw-langenfeld.de,,,,,,True
107,Stadtwerke Lengerich GmbH,,True,,,,,An der Mühlenbreede 4,49525,Lengerich,054 81 80 0540,www.stadtwerke-lengerich.de,,An der Mühlenbreede 4,49525,Lengerich,True,True
108,Stadtwerke Lippstadt,,True,,,,,Bunsenstr. 2,59557,Lippstadt,02941 282912,www.stadtwerke-lippstadt.de,,,,,,
109,Stadtwerke Löffingen,True,,,,,,,,,07654 8020,www.stadtwerke-loeffingen.de,regional,Rathausplatz 1,79843,Löffingen,True,True
110,Stadtwerke Lüdenscheid GmbH,,True,,,,,Lennestraße 2,58507,Lüdenscheid,0800 157 1000,www.swls.de,,Lennestraße 2,58507,Lüdenscheid,True,True
111,Stadtwerke Ludwigsburg-Kornwestheim GmbH,,True,,,,,Gänsfußallee 23,71636,Ludwigsburg,07141 9102577,www.swlb.de,,,,,,True
112,Stadtwerke Menden GmbH,True,,,,,,,,,02373 169 2313,www.stadtwerke-menden.de,regional,,,,,True
113,Stadtwerke Müllheim Staufen GmbH,,True,True,True,,True,Am Schießrain 1a,79219,Staufen i.Br.,07631 936080,www.sw-muellheimstaufen.de,,,,,,
114,Stadtwerke Münster GmbH,True,,True,True,,,,,,0251 6941212,www.stadtwerke-muenster.de,bundesweit,,,,,True
115,Stadtwerke Neustadt/Weinstraße GmbH,True,,,,,,,,,06321 402271,www.swneustadt.de,regional,,,,,
116,Stadtwerke Pfullendorf GmbH,,True,,,,,Bahnhofstraße 6,88630,Pfullendorf,07552 251859,www.pfullendorf.de/stadtwerke,,Bahnhofstr. 6,88630,Pfullendorf,True,True
117,Stadtwerke Pinneberg GmbH,True,,,,,,,,,04101 2030,www.stadtwerke-pinneberg.de,regional,Am Hafen 67,25421,Pinneberg,True,True
118,Stadtwerke Pirmasens Versorgungs GmbH,True,,,,,,,,,06331 8760,www.stadtwerke-pirmasens.de,regional,An der Streckbrücke 4,66954,Pirmasens,True,True
119,Stadtwerke Plön Versorgungs GmbH,,True,,,,,Lübecker Straße 20,24306,Plön,04522 80 89 90,www.stadtwerke-ploen.de,,,,,,
120,StadtWerke Rösrath - Energie GmbH,,True,,,,,Hauptstr. 142,51503,Rösrath,0241 1817520,www.stadtwerke-roesrath.de,,,,,,True
121,Stadtwerke Schramberg GmbH & Co. KG,True,,,,,,,,,07422 95340,www.stadtwerke-schramberg.de,regional,Gustav-Maier-Straße 11,78713,Schramberg,True,True
122,Stadtwerke Schwäbisch Gmünd GmbH,,True,,,,,Bürgerstraße 5,73525,Schwäbisch Gmünd,07171 603 8111,www.nichtwegzudenken.de,,Bürgerstraße 5,73525,Schwäbisch Gmünd,True,True
123,Stadtwerke Springe GmbH,True,,,,,,,,,05041 640798,www.stadtwerke-springe.de,regional,Zum Oberntor 19,31832,Springe,True,True
124,Stadtwerke St. Ingbert GmbH,True,,,,,,,,,06894 95520,www.sw-igb.de,regional,,,,,True
125,Stadtwerke Waiblingen GmbH,,True,,,,,Schorndorfer Str. 67,71332,Waiblingen,07151 131184,https://stadtwerke-waiblingen.de/,,Schorndorfer Straße 67,71332,Waiblingen,True,True
126,Stadtwerke Waldkirch GmbH,,True,,,,,Fabrikstraße 15,79183,Waldkirch,07681 47788999,www.stadtwerke-waldkirch.de,,Fabrikstraße 15,79183,Waldkirch,True,True
127,Stadtwerke Weserbergland,True,,,,,,,,,05151 822870,www.stadtwerke-weserbergland.de,regional,,,,,
128,Stadtwerke Willich GmbH,,True,,,,,Brauereistraße 7,47877,Willich,02154 4702280,www.stadtwerke-willich.de,,Brauereistraße 7,47877,Willich,True,True
129,Stadtwerke Zweibrücken GmbH,True,,,,,,,,,06332 8740,www.stadtwerke-zw.de,regional,Gasstraße 1,66482,Zweibrücken,True,True
130,Stromio GmbH,,True,,,,,Girmes-Kreuz-Str. 55,41564,Kaarst,0800 58 58 224,www.gruenwelt.de/,,Postfach 1463,39004,Magdeburg,True,True
131,Stromversorgung Neunkirchen GmbH,True,,,,,,,,,09123 1730,www.stwl.lauf.de,regional,Sichartstraße 49,91207,Lauf a. d. Pegnitz,True,True
132,StWL Städtische Werke Lauf a.d. Pegnitz GmbH,True,,,,,,,,,09123 1730,www.stwl.lauf.de,regional,,,,,True
133,susiEnergie GmbH,,True,True,True,,,Gerberstrasse 7,88250,Weingarten,0800 7874123,,,Gerberstraße 7,88250,Weingarten,True,True
134,Technische Werke Schussental GmbH & Co. KG,,True,,,,,Schussenstraße 22,88212,Ravensburg,0751 8044980,www.tws.de,,Schussenstraße 22,88212,Ravensburg,True,True
135,Verbandsgemeindewerk Dannstadt-Schauernheim,True,,,,,,,,,06231 4010,www.vg-werk-dannstadt-schauernheim.de,regional,,,,,True
136,Verbandsgemeindewerke Dudenhofen,True,,,,,,,,,06232 6560,www.vgrd.de,regional,,,,,
137,Verbandsgemeindewerke Eisenberg/Ramsen,True,,,,,,,,,06351 407100,www.vgwerke-eisenberg.de,regional,,,,,
138,Verbandsgemeindewerke Enkenbach-Alsenborn,True,,,,,,,,,06303 913124,www.enkenbach-alsenborn.de,regional,Hauptstr. 18,67677,Enkenbach-Alsenborn,True,True
139,Verbandsgemeindewerke Hettenleidelheim,True,,,,,,,,,0621 585-2010,www.vg-h.de,regional,,,,,
140,Verbandsgemeindewerke Hochspeyer,True,,,,,,,,,06305 710,www.vgw-hochspeyer.de,regional,,,,,
