Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
Energie Waldeck-Frankenberg GmbH,Arolser Landstr. 27,34497,Korbach,https://www.ewf.de,,A,,,,,,,,,,
Energiedienst AG,Schönenbergerstr. 10,79618,Rheinfelden,https://www.naturenergie.de,,A,,,,,,,,,,
Energiegenossenschaft für Wittmund eG,Aseler-Str. 10,26409,Wittmund,https://www.eg-wittmund.de,,A,,,,,,,,,,
Energie-Gesellschaft Unterkirnach mbH,Hauptstraße 5,78089,Unterkirnach,https://www.egu-strom.de,,A,,,,,,,,,,
energieGUT GmbH,Bungertstr. 27,47053,Duisburg,https://www.energiegut.de,,A,,,,,,,,,,
energiehoch3 GmbH,Ostring 28,44787,Bochum,https://www.energiehoch3.de,,A,,,,,,,,,,
EnergieSüdwest Aktiengesellschaft,Industriestr. 18,76829,Landau,https://energie-suedwest.de,,B,,51 % Anteil Enovos Deutschland SE,,,,,,,,
Energieversorgung Bad Bentheim GmbH & Co. KG,Schloßstraße 2a,48455,Bad Bentheim,https://www.bentheim-energie.de,,A,,,,,,,,,,
Energieversorgung Bad Boll GmbH,Eybstraße 98 - 102,73312,Geislingen,https://www.energie-bollwerk.de,,A,,,,,,,,,x,
Energieversorgung Buching-Trauchgau GmbH,Lechbrucker Str. 4,87642,Halblech,https://www.ebt-halblech.de,,?,x,,,,,,,,,
Energieversorgung Dahlenburg-Bleckede AG,Lüneburger Straße 21,21368,Dahlenburg,https://www.evdbag.de,,A,,,,,,,,,,
Energieversorgung Filstal GmbH & Co. KG,Großeislinger Str. 30,73033,Göppingen,https://www.evf.de,,A,,,,,,,,,,
Energieversorgung Gaildorf OHG,Burg 2,74405,Gaildorf - Unterrot,https://www.ev-gaildorf.de,,A,,,,,,,,,,
Energieversorgung Gera GmbH,De-Smit-Straße 18,07545,Gera,https://www.energieversorgung-gera.de,,A,,,,,,,,,,
Energieversorgung Greiz GmbH,Mollbergstraße 20,07973,Greiz,https://www.evgreiz.de,,A,,,,,,,,,,
Energieversorgung Lenningen GmbH,Eybstraße 98 - 102,73252,Lenningen,https://www.ev-lenningen.de,,A,,,,,,,,,,
Energieversorgung Leverkusen GmbH & Co. KG,Overfeldweg 23,51371,Leverkusen,https://www.evl-gmbh.de,,A,,,,,,,,,,
Energieversorgung Limburg GmbH,Ste.-Foy-Straße 36,65549,Limburg an der Lahn,https://www.evl.de,,A,,,,,,,,,,
Energieversorgung Lohr-Karlstadt und Umgebung GmbH,Zum Helfenstein 4 - 6,97753,Karlstadt,https://www.die-energie.de,,A,,,,,,,,,,
Energieversorgung Mainhardt Wüstenrot GmbH & Co. KG,Hauptstraße 1,74535,Mainhardt,http://www.emw-energie.de,,?,,Beteiligung der Stadtwerke Schwäbisch Hall -bietet nicht nur ökostrom an,,,x,,,,,
Energieversorgung Main-Spessart GmbH,Boschweg 9,63741,Aschaffenburg,https://www.energieversorgung-mainspessart.de,,A,,,,,,,,,,
Energieversorgung Mittelrhein AG,Ludwig-Erhard-Str. 8,56073,Koblenz,https://www.energieversorgung-mainspessart.de,,A,,,,,,,,,,
Energieversorgung Münchberg-Schwarzenbach/Saale GmbH & Co.KG,Mühlgasse 5,95213,Münchberg,https://www.stadtwerke-muenchberg.de,,A,,,,,,,,,,
Energieversorgung Nordhausen GmbH,Straße der Genossenschaften 93,99734,Nordhausen,https://www.energie-nordhausen.de/,,A,,,,,,,,,,
Energieversorgung Oberes Wiesental GmbH,Meinrad-Thoma-Straße 8a,79674,Todtnau,https://www.eow-todtnau.de/,,A,,Beteiligung badenova mit 24 % (Vertreibt auch normal-Strom),,,x,,,,,
Energieversorgung Oberhausen AG,Danziger Straße 31,46045,Oberhausen,https://www.evo-energie.de,,A,,,,,,,,,,
Energieversorgung Oberstdorf GmbH,Nebelhornstraße 51-53,87561,Oberstdorf,http://www.gemeindewerke-oberstdorf.de,,A,,,,,,,,,,
Energieversorgung Offenbach AG,Andréstraße 71,63067,Offenbach,https://www.evo-ag.de,,A,,,,,,,,,,
Energieversorgung Oy-Kressen e.G.,Sonnenmulde 1,87466,Oy-Mittelberg,http://evok-oy.de/wordpress/,,A,,,,,,,,,,
Energieversorgung Rudolstadt GmbH,Oststraße 18,07407,Rudolstadt,https://www.ev-rudolstadt.de,,A,,,,,,,,,,
Energieversorgung Rüsselsheim GmbH,Walter-Flex-Straße 74,65428,Rüsselsheim,https://www.stadtwerke-ruesselsheim.de,,A,,,,,,,,,,
Energieversorgung Schmid,Mühlenstraße 44,83417,Kirchanschöring,http://www.evuschmid.de,,?,,,,,,,,,x,
Energieversorgung Sehnde GmbH,Nordstraße 19,31319,Sehnde,https://www.energieversorgung-sehnde.de,,A,,,,,,,,,,
Energieversorgung Südbaar GmbH & Co.KG,Leo-Wohleb-Str. 3,78176,Blumberg,https://www.esb-energie.de,,A,,,,,,,,,,
Energieversorgung Sylt GmbH,Friesische Str. 53,25980,Westerland,https://www.energieversorgung-sylt.de,,R?,,Beteiligung: KOM9 und Thüga Erneuerbare Energien,?,,,,,TÜV Nord,,
Energieversorgung Titisee-Neustadt GmbH,Gutachstr. 13,79822,Titisee-Neustadt,https://www.ev-tn.de,,R?,,Strom auch von Energiedienst / Naturenergie ,?,,,,,TÜV Nord,,
Energieversorgung Trossingen GmbH,Bahnhofstraße 9,78647,Trossingen,http://www.swtro.de,,R,,Partner Energiedienst / Naturenergie ,,,,,,TÜV Nord,,
energieversprechen.de - eine Marke der Stadtwerke Troisdorf,Poststr. 105,53840,Troisdorf,https://www.energieversprechen.de,,R?,,,?,,,,,RenewablePLUS,,
Energiewerk Meckenheim,Hauptstr. 58,67149,Meckenheim,http://www.ewerk-meckenheim-pfalz.de,,A,,,,,,,,,,
Energiewerke Isernhagen GmbH,Bothfelder Straße 31,30916,Isernhagen,https://www.ewi-isernhagen.de,,A,,,,,,,,,,
Energiewerke Zeulenroda GmbH,Lohweg 8,07937,Zeulenroda,https://www.energiewerke-zeulenroda-triebes.de/,,A,,,,,,,,,,
enewa GmbH Energie + Wasser Wachtberg,Am Wachtbergring 2a,53343,Wachtberg,https://www.enewa.de,,R,,"STAWAG, Stadtwerke Aachen AG",,,,,,OKPower,,
ENNI Energie & Umwelt Niederrhein GmbH,Uerdinger Straße 31,47441,Moers,https://www.enni.de,,A,,,,,,,,,,
enQu GmbH,Speckenbeker Weg 130,24113,Kiel,https://www.enqu.de,,A,,,,,,,,,,
ENRW Energieversorgung Rottweil GmbH & Co. KG,In der Au 5,78628,Rottweil,https://www.enrw.de,,A,,,,,,,,,,
ENSO Energie Sachsen Ost AG,Friedrich-List-Platz 2,01069,Dresden,https://enso.de,,A,,,,,,,,,,
ENTEGA Energie GmbH,Frankfurter Str. 100,64293,Darmstadt,https://www.entega.de,,A,,,,,,,,,,
envia Mitteldeutsche Energie AG,Chemnitztalstraße 13,09114,Chemnitz,https://www.enviam.de,,A,,,,,,,,,,
enwag energie- und wassergesellschaft mbH,Hermannsteiner Straße 1,35576,Wetzlar,https://www.enwag.de,,A,,,,,,,,,,
enwor - energie & wasser vor ort GmbH,Kaiserstraße 86,52134,Herzogenrath,https://www.enwor.de,,A,,,,,,,,,,
eprimo GmbH,Flughafenstrasse 20,63263,Neu-Isenburg,https://www.eprimo.de/,,A,,,,,,,,,,
e-regio GmbH & Co. KG,Rheinbacher Weg 10,53881,Euskirchen,https://www.e-regio.de,,R?,,"Anteilseigner: rhenag Rheinische Energie AG, Köln",?,,,,,TÜV,,
Erhard Bürk-Kauffmann GmbH,Neuffenstraße 27-29,78056,Villingen-Schwenningen,https://www.buerk-kauffmann.de,,?,x,,,,,,,,?,
Erlanger Stadtwerke AG,Äußere Bruckstr. 33,91052,Erlangen,https://www.estw.de,,A,,,,,,,,,,
ESWE Versorgungs AG,Konradinerallee 25,65189,Wiesbaden,https://www.eswe-versorgung.de,,A,,,,,,,,,,
evd energieversorgung Dormagen GmbH,Mathias-Giesen-Straße 13,41540,Dormagen,https://www.evd-dormagen.de,,A,,,,,,,,,,
EVH GmbH,Bornknechtstr. 5,06108,Halle,https://evh.de,,A,,,,,,,,,,
EWE VERTRIEB GmbH,Cloppenburger Str. 310,26133,Oldenburg,https://www.ewe.de,,A,,,,,,,,,,
e-werk Sachsenwald GmbH,Hermann-Körner-Straße 61,21465,Reinbek,http://www.ewerk-sachsenwald.de,,A,,,,,,,,,,
"E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG",Mühlenstraße 11,24986,Satrup,http://e-werk.heinrich-n-clausen.de,,A,,,,,,,,,,
E-Werke Haniel Haimhausen OHG,Dachauer Straße 4 a,85778,Haimhausen,https://www.oekostrom-bayern.de/,,R?,,,?,,,,,KlimaINVEST,,
EWG Elektrizitätsversorgung Werther GmbH,Alte Bielefelder Straße 28,33824,Werther,https://www.ewg-werther.de,,A,,,,,,,,,,
EWR GmbH - Energie und Wasser für Remscheid,Neuenkamper Straße 81-87,42855,Remscheid,https://www.ewr-remscheid.de,,A,,,,,,,,,,
ew-schmid gmbh,Untere Ringstr. 28,94437,Mamming,https://ew-schmid.de,,A,,,,,,,,,,
EWV Energie- und Wasser-Versorgung GmbH Stolberg,Willy-Brandt-Platz 2,52222,Stolberg,https://www.ewv.de,,A,,,,,,,,,,
EZV Energie- und Service GmbH & Co. KG Untermain,Landstraße 47,63939,Wörth a. Main,http://ezv-energie.de,,R?,"1,4% Kohle-Kernenergie ",,?,,,,x,,,
FairEnergie GmbH,Hauffstraße 89,72762,Reutlingen,https://www.fairenergie.de,,A,,,,,,,,,,
Feuchter Gemeindewerke GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,,A,,,,,,,,,,
Filderstadtwerke,Brühlstraße 41,70794,Filderstadt-Sielmingen,https://www.filderstadtwerke.de,,R,,,,,,,,KlimaINVEST,,
Fischereihafen-Betriebsgesellschaft mbH,Lengstraße 1,27572,Bremerhaven,https://www.fbg-bremerhaven.de,,A,,,,,,,,,,
Freiberger Stromversorgung GmbH,Poststraße 5,09599,Freiberg,https://www.stadtwerke-freiberg.de/,,A,,,,,,,,,,
Freisinger Stadtwerke Versorgungs-GmbH,Wippenhauser Str. 19,85354,Freising,https://www.freisinger-stadtwerke.de,,R?,,,,,,,,TÜV Süd,,
FREITALER STROM+GAS GMBH,Potschappler Straße 2,01705,Freital/Sachsen,https://www.fsg-freital.de,,A,,,,,,,,,,
Gas- und Wasserversorgung Höxter GmbH,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,,R?,,,,,,,,,,
GASPAR - eine Marke der rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,https://gaspar-energie.de,,?,,Marke der rhenag AG,?,,,,,,,
Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,,R?,,,?,,,,,,,
Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,,R,,regional erzeugter Strom,,,,,,,,
Gemeinde Heroldsbach Stromversorgung,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,,A,?,,?,,,,,,,
Gemeindewerk Hördt,Am Deutschordensplatz 1,76761,Rülzheim,https://www.heroldsbach.de,,A,,,,,,,,,,
Gemeindewerke Ammerbuch GmbH,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,,A,,,,,,,,,,
Gemeindewerke Bad Sassendorf GmbH & Co. KG,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,,A,,,,,,,,,,
Gemeindewerke Baiersbronn,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,,A,,,,,,,,,,
