"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE954875830876";"In Betrieb";"Batterie";"Speicher";"67308 Zellertal
Deutschland";"3,7";"3,7";"";"10.07.2019";"";"natürliche Person (ABR995619908321)";"EEG951880565564
SSE954626659640";"Pfalzwerke Netz AG (SNB961471621746)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.05.2013";"";"";"10,24";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE988860109401";"In Betrieb";"PV-Anlage Christoph Becker";"Solare Strahlungsenergie";"29649 Wietzendorf
Reddingen 2
Deutschland";"59,04";"59,04";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.09.2010";"";"natürliche Person (ABR909932626763)";"EEG995315038377";"Celle-Uelzen Netz GmbH (SNB955238223991)";"";"30.09.2010";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Abgeschlossen"
"SEE993336610367";"In Betrieb";"Dach 3 Hackschnitzellager";"Solare Strahlungsenergie";"93426 Roding
Deutschland";"6,63";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.12.2007";"";"natürliche Person (ABR958225613140)";"EEG973813708992";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.12.2007";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE911163561904";"In Betrieb";"Carport";"Solare Strahlungsenergie";"73479 Ellwangen
Deutschland";"14,7";"14,7";"Bauliche Anlagen (Sonstige)";"30.10.2013";"";"natürliche Person (ABR966854533012)";"EEG983622655424";"Netzgesellschaft Ostwürttemberg DonauRies GmbH (SNB935556509052)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.10.2013";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE995329812680";"In Betrieb";"PV-Anlage";"Solare Strahlungsenergie";"35096 Weimar
Deutschland";"9,6";"2,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.06.2019";"";"natürliche Person (ABR966402656408)";"EEG941334738552";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE999276633206";"In Betrieb";"Batteriespeicher";"Speicher";"88142 Wasserburg
Deutschland";"3";"3";"";"30.05.2018";"";"natürliche Person (ABR946448251423)";"EEG931940169543
SSE900127309188";"Stadtwerke Lindau (B) GmbH & Co. KG (SNB949152526504)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.05.2018";"";"";"10";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE956383793162";"In Betrieb";"Tobias Birkenmaier";"Solare Strahlungsenergie";"88361 Altshausen
Deutschland";"4,65";"4,65";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.06.2019";"";"natürliche Person (ABR924651109670)";"EEG911916855915";"Netze BW GmbH (SNB948311994307)";"Mittelspannung";"05.06.2019";"";"";"";"";"";"";"";"10.07.2019";"24.07.2019";"";"B";"Ungeprüft"
"SEE908123791075";"In Betrieb";"Öko Solar 67753";"Solare Strahlungsenergie";"67753 Hefersweiler
Deutschland";"9,86";"9,86";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"07.11.2018";"";"PFALZWERKE AKTIENGESELLSCHAFT";"EEG936245082757";"Pfalzwerke Netz AG (SNB961471621746)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"07.11.2018";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE984640255092";"In Betrieb";"Haus Katrin";"Erdgas";"89584 Ehingen
Deutschland";"15";"15";"Erdgas, Erdölgas";"10.08.2017";"Verbrennungsmotor";"Römergarten Residenzen GmbH";"KWK958569301000";"EHINGER ENERGIE GmbH & Co. KG (SNB928479274794)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"30,6";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE924658664387";"In Betrieb";"PV Hausdach";"Solare Strahlungsenergie";"79199 Kirchzarten
Deutschland";"6";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"11.06.2019";"";"natürliche Person (ABR985426867508)";"EEG986860869622";"Energie- und Wasserversorgung Kirchzarten GmbH (SNB966380208811)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.06.2019";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
