"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE983827021833";"In Betrieb";"ZX3000G";"Solare Strahlungsenergie";"95697 Nagel
Deutschland";"13,965";"12,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"18.06.2010";"";"natürliche Person (ABR948769167087)";"EEG985251694768";"SWW Wunsiedel GmbH (SNB967812386411)";"";"18.06.2010";"";"";"";"";"";"";"";"19.07.2019";"25.07.2019";"";"A";"Abgeschlossen"
"SEE934666304526";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"38159 Vechelde
Deutschland";"4,48";"4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"18.04.2019";"";"natürliche Person (ABR995652373810)";"EEG986712458097";"Avacon Netz GmbH (SNB990362338043)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"18.04.2019";"";"";"";"";"";"";"";"21.07.2019";"21.07.2019";"";"B";"Ungeprüft"
"SEE922380268217";"In Betrieb";"Heckert Solar NeMo 60M 270Wp";"Solare Strahlungsenergie";"18190 Sanitz
Deutschland";"4,32";"3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"02.11.2017";"";"natürliche Person (ABR974653865777)";"EEG911774369876";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.11.2017";"";"";"";"";"";"";"";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE999018325055";"In Betrieb";"Odenwald";"Solare Strahlungsenergie";"63599 Biebergemünd
Deutschland";"8";"8";"Bauliche Anlagen (Sonstige)";"12.12.2005";"";"natürliche Person (ABR964915415727)";"EEG992601298859";"Kreiswerke Main-Kinzig GmbH (SNB937858140285)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.12.2005";"";"";"";"";"";"";"";"12.07.2019";"12.07.2019";"";"A";"Ungeprüft"
"SEE915419709003";"In Betrieb";"PV-Batterie";"Speicher";"38159 Vechelde
Deutschland";"3,5";"3,5";"";"18.04.2019";"";"natürliche Person (ABR995652373810)";"EEG943767256191
SSE958021263839";"Avacon Netz GmbH (SNB990362338043)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"18.04.2019";"";"";"6,6";"";"";"";"";"21.07.2019";"21.07.2019";"";"B";"Ungeprüft"
"SEE921479798321";"In Betrieb";"Generator C";"nicht biogener Abfall";"42349 Wuppertal
Korzert 15
Deutschland";"9.376";"9.376";"nicht biogener Abfall (Hausmüll, Siedlungsabfälle)";"20.12.2017";"Gegendruckmaschine ohne Entnahme";"EkoCity";"KWK961736706188
SGE958657954538";"WSW Netz GmbH (SNB914306944756)";"Hochspannung";"";"";"116.000";"";"Bezirksregierung Düsseldorf";"53.01-100-53.0092/15/8.1.1.1";"05.08.2016";"19.07.2019";"19.07.2019";"19.07.2019";"";"A";"Ungeprüft"
"SEE977653384255";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"73479 Ellwangen
Deutschland";"7,92";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"24.03.2009";"";"natürliche Person (ABR943993408357)";"EEG992722715037";"Netzgesellschaft Ostwürttemberg DonauRies GmbH (SNB935556509052)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.03.2009";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE913300770460";"In Betrieb";"Build Your Dream Canadian";"Solare Strahlungsenergie";"49196 Bad Laer
Deutschland";"6,6";"6,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.02.2019";"";"natürliche Person (ABR962747754168)";"EEG949880162425";"Teutoburger Energie Netzwerk eG (TEN eG) (SNB910696207785)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.02.2019";"";"";"";"";"";"";"";"02.08.2019";"02.08.2019";"";"B";"Ungeprüft"
"SEE986035198571";"In Betrieb";"Indach 19";"Solare Strahlungsenergie";"97493 Bergrheinfeld";"19,38";"18,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"26.11.2012";"";"natürliche Person (ABR926215066238)";"EEG933583552836";"Unterfränkische Überlandzentrale eG (SNB929185184919)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"26.11.2012";"";"";"";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE994615220468";"In Betrieb";"PV";"Solare Strahlungsenergie";"89134 Blaustein
Deutschland";"6,48";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.06.2015";"";"natürliche Person (ABR944514138104)";"EEG937373617033";"Stadtwerke Ulm/Neu-Ulm Netze GmbH (SNB934068635945)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.06.2015";"";"";"";"";"";"";"";"19.07.2019";"19.07.2019";"";"A";"Ungeprüft"
"SEE982431694242";"In Betrieb";"Freiflächenanl. KA";"Solare Strahlungsenergie";"67304 Eisenberg";"28,3";"27";"Freifläche";"27.07.2016";"";"Verbandsgemeindewerke Eisenberg (Pfalz)";"EEG955530679342";"Keep - Kommunale Eisenberger Energiepartner GmbH (SNB951760950909)";"";"27.07.2016";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Abgeschlossen"
"SEE968340857701";"In Betrieb";"PV-Anlage Halle 3";"Solare Strahlungsenergie";"95448 Bayreuth
Orionstraße 7
Deutschland";"77,97";"77,97";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"26.04.2011";"";"Steinbach GmbH & Co Spedition KG";"EEG940652900191";"Stadtwerke Bayreuth Energie und Wasser GmbH (SNB967782555602)";"";"26.04.2011";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Abgeschlossen"
"SEE911504832762";"In Betrieb";"Yingli Panda";"Solare Strahlungsenergie";"78120 Furtwangen
Deutschland";"9,36";"8,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.06.2011";"";"natürliche Person (ABR914297748654)";"EEG987393399693";"EGT Energie GmbH (SNB979557818782)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.06.2011";"";"";"";"";"";"";"";"07.08.2019";"07.08.2019";"";"A";"Ungeprüft"
"SEE954318532305";"In Betrieb";"Hallendach";"Solare Strahlungsenergie";"93413 Cham
Deutschland";"11,04";"10";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.07.2009";"";"natürliche Person (ABR929014246498)";"EEG984491522220";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.07.2009";"";"";"";"";"";"";"";"21.07.2019";"21.07.2019";"";"A";"Ungeprüft"
"SEE972907656928";"In Betrieb";"PV-Anlage Königheim 139,644 ""groß""";"Solare Strahlungsenergie";"97953 Königheim
Breitenflur 3
Deutschland";"141";"141";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.12.2005";"";"natürliche Person (ABR957213073881)";"EEG963124638965";"Netze BW GmbH (SNB948311994307)";"Umspannebene Mittelspannung/Niederspannung";"15.08.2011";"";"";"";"";"";"";"";"28.07.2019";"28.07.2019";"";"A";"Ungeprüft"
"SEE988251284731";"In Betrieb";"Hausdach/Garage";"Solare Strahlungsenergie";"31535 Neustadt
Deutschland";"9,9";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.03.2019";"";"natürliche Person (ABR951917934462)";"EEG902674360780";"Stadtnetze Neustadt a. Rbge. GmbH & Co. KG (SNB961666410285)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.03.2019";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"B";"Ungeprüft"
"SEE934377487624";"In Betrieb";"35B";"Solare Strahlungsenergie";"86836 Untermeitingen
Deutschland";"9,9";"9,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.04.2019";"";"natürliche Person (ABR953548983321)";"EEG965384106826";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.04.2019";"";"";"";"";"";"";"";"28.07.2019";"28.07.2019";"";"B";"Ungeprüft"
"SEE977913549028";"In Betrieb";"35B Batterie";"Speicher";"86836 Untermeitingen
Deutschland";"11,52";"10";"";"08.04.2019";"";"natürliche Person (ABR953548983321)";"EEG942415146334
SSE912254342969";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.04.2019";"";"";"11,52";"";"";"";"";"28.07.2019";"28.07.2019";"";"B";"Ungeprüft"
"SEE983701055954";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"84453 Mühldorf
Deutschland";"0,44";"0,44";"Bauliche Anlagen (Sonstige)";"29.11.2007";"";"natürliche Person (ABR915967591679)";"EEG981232895759";"Kommunale Energienetze Inn-Salzach GmbH & Co. KG (SNB972153058149)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.11.2007";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE978263516555";"In Betrieb";"MFH, BHKW Dachs";"Erdgas";"31655 Stadthagen
Deutschland";"5,5";"5,5";"Erdgas, Erdölgas";"01.02.2011";"Verbrennungsmotor";"natürliche Person (ABR987049725333)";"KWK975735863445";"Westfalen Weser Netz GmbH (SNB929881052512)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"10,6";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE934506111482";"In Betrieb";"Friesengiebel";"Solare Strahlungsenergie";"47647 Kerken
Deutschland";"3,84";"3,84";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.02.2019";"";"natürliche Person (ABR969426947781)";"EEG919188283634";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.02.2019";"";"";"";"";"";"";"";"16.07.2019";"18.07.2019";"";"B";"Ungeprüft"
"SEE970870340745";"In Betrieb";"BHKW 280218";"andere Gase";"36419 Buttlar
Deutschland";"0,75";"0,75";"Andere Gase";"28.02.2018";"Stirlingmotor";"natürliche Person (ABR943832574748)";"KWK955569256026";"Überlandwerk Rhön GmbH (SNB936940951426)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"1";"";"";"";"";"";"06.08.2019";"06.08.2019";"";"A";"Ungeprüft"
"SEE902413588291";"In Betrieb";"Technikraum";"Speicher";"47647 Kerken
Deutschland";"3,5";"3,5";"";"25.02.2019";"";"natürliche Person (ABR969426947781)";"EEG951133280343
SSE926589077182";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.02.2019";"";"";"6,6";"";"";"";"";"16.07.2019";"16.07.2019";"";"B";"Ungeprüft"
"SEE964578460317";"In Betrieb";"Photovoltaik Nüßle";"Solare Strahlungsenergie";"89150 Laichingen
Deutschland";"10,35";"10,35";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.06.2010";"";"natürliche Person (ABR910777026465)";"EEG989211645869";"Albwerk GmbH & Co. KG (SNB926699071292)";"";"15.06.2010";"";"";"";"";"";"";"";"13.07.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE919149133329";"In Betrieb";"WKA  FUH37G1D250";"Wind";"56479 Salzburg
Salzburg 2 / 136";"250";"250";"Windkraft an Land";"29.05.1996";"Horizontalläufer";"natürliche Person (ABR921576934936)";"EEG938424276643";"Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275)";"Mittelspannung";"29.05.1996";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE959414524865";"In Betrieb";"PV-Anlage";"Solare Strahlungsenergie";"82152 Krailling
Deutschland";"9,72";"9,72";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.10.2018";"";"Anja und Florian Bujok GbR";"EEG934660733513";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.10.2018";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE932221979912";"In Betrieb";"ABR927654150472 AVIA";"Solare Strahlungsenergie";"79541 Lörrach
Deutschland";"9,28";"9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.06.2017";"";"KFZ Sütterlin GmbH";"EEG949035857312";"ED Netze GmbH (SNB945502201350)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.06.2017";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"A";"Ungeprüft"
"SEE964630231312";"In Betrieb";"HEIFRA-Solar GbR";"Solare Strahlungsenergie";"27801 Dötlingen
Zur Eiche 2 A
Deutschland";"53";"53";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2004";"";"HEIFRA-Solar GbR";"EEG979620914052";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2004";"";"";"";"";"";"";"";"12.07.2019";"12.07.2019";"";"A";"Ungeprüft"
"SEE974333395792";"In Betrieb";"Garagendach";"Solare Strahlungsenergie";"84427 Sankt Wolfgang
Deutschland";"4,725";"4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.10.2008";"";"natürliche Person (ABR977583171598)";"EEG901020463083";"KWH Netz GmbH (SNB922161652860)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.10.2008";"";"";"";"";"";"";"";"13.07.2019";"13.07.2019";"";"A";"Ungeprüft"
"SEE969201363676";"In Betrieb";"WB102 Fassade";"Solare Strahlungsenergie";"65201 Wiesbaden
Deutschland";"19,47";"15,45";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2007";"";"Dow Silicones Deutschland GmbH";"EEG933351956538";"Stadtwerke Wiesbaden Netz GmbH (SNB950584553167)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2007";"";"";"";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE937885227676";"In Betrieb";"Sauenstall";"Solare Strahlungsenergie";"85469 Walpertskirchen
Neufahrn 26
Deutschland";"30,6";"30,6";"Bauliche Anlagen (Sonstige)";"06.04.2009";"";"natürliche Person (ABR995348110347)";"EEG918926453070";"KWH Netz GmbH (SNB922161652860)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"06.04.2009";"";"";"";"";"";"";"";"13.07.2019";"13.07.2019";"";"A";"Ungeprüft"
"SEE916849908547";"In Betrieb";"PV-Anlage";"Solare Strahlungsenergie";"26655 Westerstede
Deutschland";"11,28";"11,28";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.03.2012";"";"Volksbank Westerstede eG";"EEG996415771461";"EWE NETZ GmbH (SNB951051725711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.03.2012";"";"";"";"";"";"";"";"11.07.2019";"18.07.2019";"";"A";"Ungeprüft"
"SEE929931338009";"In Betrieb";"PV-Freiflächenanlage Meuselwitz";"Solare Strahlungsenergie";"04610 Meuselwitz
Neupoderschau Flur1: 63, 65/1, 65/2, 65/3, 65/4";"1.957";"1.957";"Freifläche";"29.06.2012";"";"KWA Zweite Solarkraftwerk GmbH &Co. KG";"EEG932964216800
SGE905479413033";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Mittelspannung";"29.06.2012";"";"";"";"Landratsamt Altenburger Land Fachdienst Bauordnung und Denkmalschutz";"00201-2012-06";"20.03.2012";"25.07.2019";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE907223904750";"In Betrieb";"SWM HKW Sued GuD1 DT1";"Erdgas";"81371 München
Schäftlarnstraße 15
Deutschland";"82.700";"79.700";"Erdgas, Erdölgas";"30.09.1980";"Kondensationsmaschine mit Entnahme";"SWM Services GmbH";"KWK995778931840
SGE975434142445";"SWM Infrastruktur GmbH & Co. KG (SNB969473762610)";"Hochspannung";"";"";"255.100";"";"Regierung von Oberbayern";"821-8711-14-19/86";"14.09.1988";"17.07.2019";"17.07.2019";"17.07.2019";"";"A";"Ungeprüft"
"SEE944118251377";"In Betrieb";"PV Anlage Stierwiese";"Solare Strahlungsenergie";"96242 Sonnefeld
Deutschland";"7,13";"7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.04.2018";"";"natürliche Person (ABR901029535712)";"EEG926789559433";"SÜC Energie und H²O GmbH (SNB968862623211)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.04.2018";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE984902616500";"In Betrieb";"Wara";"Solare Strahlungsenergie";"94327 Bogen
Deutschland";"9,72";"9,72";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.10.2018";"";"natürliche Person (ABR903283508723)";"EEG919779895239";"Stadtwerke Bogen GmbH (SNB982380015723)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.10.2018";"";"";"";"";"";"";"";"13.07.2019";"13.07.2019";"";"A";"Ungeprüft"
"SEE968846340806";"In Betrieb";"Wara";"Speicher";"94327 Bogen
Deutschland";"6,5";"5,9";"";"29.10.2018";"";"natürliche Person (ABR903283508723)";"EEG957930305159
SSE996114599236";"Stadtwerke Bogen GmbH (SNB982380015723)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.10.2018";"";"";"5,9";"";"";"";"";"13.07.2019";"13.07.2019";"";"A";"Ungeprüft"
"SEE961867571013";"In Betrieb";"Hausdach Nummer 1";"Solare Strahlungsenergie";"78655 Dunningen
Deutschland";"4,32";"4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2000";"";"natürliche Person (ABR972152307965)";"EEG971596825783";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2000";"";"";"";"";"";"";"";"21.07.2019";"21.07.2019";"";"A";"Ungeprüft"
"SEE907926303775";"In Betrieb";"Stadeldach";"Solare Strahlungsenergie";"88213 Ravensburg
Deutschland";"29,92";"26,75";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.11.2007";"";"natürliche Person (ABR928322422082)";"EEG932973463677";"TWS Netz GmbH (SNB977095880292)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.11.2007";"";"";"";"";"";"";"";"14.07.2019";"14.07.2019";"";"A";"Ungeprüft"
"SEE988996355383";"In Betrieb";"JanSolar";"Solare Strahlungsenergie";"84130 Dingolfing
Deutschland";"6,58";"5,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.09.2008";"";"natürliche Person (ABR930057870465)";"EEG909738423566";"Stadtwerke Dingolfing GmbH (SNB944601935326)";"";"01.09.2008";"";"";"";"";"";"";"";"26.07.2019";"26.07.2019";"";"A";"Abgeschlossen"
"SEE907833629401";"In Betrieb";"Haus";"Solare Strahlungsenergie";"93055 Regensburg
Deutschland";"9,8";"9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.04.2013";"";"natürliche Person (ABR941625244250)";"EEG972704658859";"Regensburg Netz GmbH (SNB941929592729)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.04.2013";"";"";"";"";"";"";"";"29.07.2019";"29.07.2019";"";"A";"Ungeprüft"
"SEE908258316747";"In Planung";"B-Solar";"Solare Strahlungsenergie";"82057 Icking
Deutschland";"6,7";"6,7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"";"";"natürliche Person (ABR933511332882)";"";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";""
"SEE901789931854";"In Betrieb";"SWM HKW Sued GuD1 GT2";"Erdgas";"81371 München
Schäftlarnstraße 15
Deutschland";"98.900";"97.900";"Erdgas, Erdölgas";"30.09.1980";"Gasturbinen mit Abhitzekessel";"SWM Services GmbH";"KWK995778931840
SGE975434142445";"SWM Infrastruktur GmbH & Co. KG (SNB969473762610)";"Hochspannung";"";"";"255.100";"";"Regierung von Oberbayern";"821-8711-14-19/86";"14.09.1988";"17.07.2019";"17.07.2019";"17.07.2019";"";"A";"Ungeprüft"
"SEE923722440124";"In Betrieb";"Klein Hilligsfeld";"Wind";"31789 Hameln
Klein Hilligsfeld Flur 3 Flurstück 18/7";"3.300";"3.300";"Windkraft an Land";"11.12.2017";"Horizontalläufer";"Energie-Genossenschaft Weserbergland eG";"EEG986056425830
SGE928910063451";"GWS Stadtwerke Hameln GmbH (SNB981984960101)";"Mittelspannung";"11.12.2017";"";"";"";"Stadt Hameln";"(51.21)5-40-13";"20.12.2016";"13.07.2019";"13.07.2019";"12.07.2019";"";"A";"Ungeprüft"
"SEE973705872152";"In Betrieb";"Energieerzeugung gmbh Rohr";"Biomasse";"92342 Freystadt
Rohr 105
Deutschland";"350";"350";"Biogas (vor Ort verstromt)";"28.11.2005";"Verbrennungsmotor";"Markus Herzog Energieerzeugung gmbh";"EEG909852502581
KWK903527943709";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.11.2005";"";"398";"";"";"";"";"";"19.07.2019";"19.07.2019";"";"A";"Ungeprüft"
"SEE922133287663";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"48249 Dülmen
Deutschland";"8,68";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.03.2017";"";"natürliche Person (ABR928266173002)";"EEG966659891775";"Stadtwerke Dülmen GmbH (SNB926697076725)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.03.2017";"";"";"";"";"";"";"";"29.07.2019";"29.07.2019";"";"A";"Ungeprüft"
"SEE996007706857";"In Betrieb";"Obermeier Energie GbR - Hagl 530 II";"Biomasse";"84568 Pleiskirchen
Hütting 4 A
Deutschland";"550";"530";"Biogas (vor Ort verstromt)";"29.03.2019";"Verbrennungsmotor";"Obermeier Energie GbR";"EEG912282906980
KWK925714330734
SGE902132766499";"Elektrizitätswerk Georg Grandl e.K. (SNB970340354654)";"Mittelspannung";"27.06.2005";"";"4.154";"";"Landratsamt Altötting";"22-6-Obe-G1/16";"09.04.2018";"13.02.2019";"18.07.2019";"18.07.2019";"";"B";"Ungeprüft"
"SEE957217093403";"In Betrieb";"SMPF Salzhalle";"Solare Strahlungsenergie";"75179 Pforzheim
Karlsruher Straße 52
Deutschland";"59,28";"55";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.04.2016";"";"Enzkreis";"EEG942721961089";"SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.04.2016";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"A";"Ungeprüft"
"SEE937705227138";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"53639 Königswinter
Deutschland";"9,92";"7,68";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.05.2019";"";"natürliche Person (ABR945559333646)";"EEG912185911692";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.05.2019";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"B";"Ungeprüft"
"SEE983721286598";"In Betrieb";"Ludwigsfelde II";"Solare Strahlungsenergie";"14974 Ludwigsfelde
Uferring 2
Deutschland";"748,8";"540,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.04.2018";"";"Solardach LLG gmbH";"EEG981233475837";"E.DIS Netz GmbH (SNB941690671609)";"Mittelspannung";"19.04.2018";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"A";"Ungeprüft"
"SEE972990067120";"In Betrieb";"Stromspeicher Kirn";"Speicher";"75177 Pforzheim
Deutschland";"2,5";"2,5";"";"24.09.2018";"";"Kirn Ingenieure";"EEG938329214009
SSE970504853818";"SWP Stadtwerke Pforzheim GmbH & Co. KG (SNB929168402344)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.09.2018";"";"";"10";"";"";"";"";"19.07.2019";"19.07.2019";"";"A";"Ungeprüft"
"SEE947157099795";"In Betrieb";"BHKW 1+2";"Biomasse";"32369 Rahden
Lohbusch 2
Deutschland";"735";"735";"Biogas (vor Ort verstromt)";"01.05.2011";"Verbrennungsmotor";"Biogas Lohbusch GmbH & Co. KG";"EEG911799829935
KWK998799451014
SGE916368971480";"Westnetz GmbH (SNB921897286493)";"Mittelspannung";"01.05.2011";"";"880";"";"Bezirksregierung Detmold";"700 52.0024/17/8.6.3.2";"15.09.2017";"04.08.2019";"04.08.2019";"04.08.2019";"";"A";"Ungeprüft"
